Year,Value
1960,4.979299498
1961,5.003564277
1962,5.025367418
1963,5.045550595
1964,5.056470116
1965,5.040687076
1966,4.992084743
1967,4.97327569
1968,4.922089469
1969,4.855976292
1970,4.778572494
1971,4.669268331
1972,4.53970361
1973,4.410469926
1974,4.288770812
1975,4.15688867
1976,4.040382918
1977,3.936737207
1978,3.843072253
1979,3.77341512
1980,3.713652391
1981,3.656614012
1982,3.627155101
1983,3.5945681
1984,3.564195128
1985,3.535984167
1986,3.499524247
1987,3.455160571
1988,3.398938314
1989,3.324495298
1990,3.248547126
1991,3.157520604
1992,3.071547794
1993,2.987501805
1994,2.921954514
1995,2.86273131
1996,2.8171996
1997,2.777375667
1998,2.746515617
1999,2.716987541
2000,2.696277399
2001,2.666498391
2002,2.643596129
2003,2.624969058
2004,2.60874732
2005,2.588162928
2006,2.577263136
2007,2.567086656
2008,2.554986219
2009,2.534291657
2010,2.516385241
2011,2.498637564
2012,2.488923693
2013,2.472313637
2014,2.464809125
2015,2.455432254
2016,2.444857446
2017,2.42731504
2018,2.414951846
